,INDONESIA,,,JAWA,,,Inggris,
112,Makanan tradisional apa yang perlu dicoba bila ke Magelang?,"Apabila ke Magelang, gethuk lindri adalah jajan yang patut dicoba",,Jajanan tradhisional apa sing kudu dicoba nalika lunga menyang Magelang?,"Yen menyang Magelang, gethuk lindri minangka jajanan sing patut dicoba",,What traditional food do you need to try when you go to Magelang?,"If you go to Magelang, gethuk lindri is a snack that is worth trying"
113,Apa yang menjadi makanan favorit masyarakat Indonesia?,Nasi padang merupakan makanan favorit banyak orang di Indonesia,,Apa panganan favorit wong Indonesia?,Nasi Padang mujudake panganan sing disenengi wong akeh ing Indonesia,,What is Indonesian people's favorite food?,Nasi Padang is a favorite food of many people in Indonesia
114,Adakah jajan tradisional tetapi sudah melegenda di Indonesia?,"Gatot, tiwul, cenil, lupis, dan sawut adalah salah satu jajanan tradisional yang legendaris di Indonesia",,Apa ana jajanan tradisional sing legendaris ing Indonesia?,"Gatot, tiwul, cenil, lupis, lan sawut minangka salah sawijining jajanan tradisional sing legendaris ing Indonesia.",,Are there any traditional snacks that are legendary in Indonesia?,"Gatot, tiwul, cenil, lupis, and sawut are one of the legendary traditional snacks in Indonesia"
115,"Aku kelaparan di malam hari, apa yang sebaiknya kumakan?","Apabila lapar di malam hari, nasi goreng bisa menjadi solusi karena murah dan mudah dicari",,"Aku luwe ing wayah wengi, apa sing kudu dakpangan?","Yen bengi ngelih, sega goreng bisa dadi solusi amarga murah lan gampang ditemokake",,"I'm hungry at night, what should I eat?","If you are hungry at night, fried rice can be a solution because it is cheap and easy to find"
116,Apa makanan khas indonesia yang berbahan dasar daging sapi?,Rendang adalah makanan berbahan dasar daging sapi,,Apa panganan khas Indonesia sing digawe saka daging sapi?,Rendang menika panganan ingkang awujud daging sapi,,What is Indonesian special food made from beef?,Rendang is a beef -based food
117,Darimana kue bika ambon berasal?,Kue bika ambon adalah makanan khas daerah Aceh  ,,Saka ngendi asale kue Bika Ambon?,Kue Bika Ambon minangka panganan khas tlatah Aceh,,Where did Bika Ambon cake come from?,Ambon Bika Cake is a typical food of the Aceh region
118,Apa hidangan khas Indonesia yang terkenal di seluruh dunia?,Hidangan Indonesia yang terkenal di seluruh dunia adalah nasi goreng,,Apa panganan khas Indonesia sing misuwur ing saindenging jagad?,Masakan Indonesia sing misuwur ing saindenging jagad yaiku sega goreng,,What is the typical Indonesian dish that is famous all over the world?,Indonesian dishes that are famous all over the world are fried rice
119,Apa makanan makanan khas Kota Madiun yang terkenal?,Kota Madiun terkenal dengan makanan khas pecel,,Apa panganan khas Kutha Madiun sing misuwur?,Kutha Madiun misuwur kanthi panganan khas pecel,,What is the famous typical food of Madiun City?,Madiun City is famous for pecel specialties
120,Bagaimana bentuk dari kue lapis legit?,Kue lapis legit biasanya terdiri dari dua lapisan warna yang saling bertumpuk satu sama lain.,,Kepriye wujude kue lapis sing sah?,Kue lapis legit biasane dumadi saka rong lapisan warna sing ditumpuk ing sadhuwure.,,What is the shape of the legit layer cake?,Legit layer cakes usually consist of two layers of colors that are piled up with each other.
121,Apa paduan makanan sambal terasi?,Sambal terasi biasanya dipadukan dengan nasi hangat,,Apa kombinasi panganan saka tempel cabe?,Sambal terasi biasane digabung karo sega anget,,What is the chili sauce choir?,Sambal shrimp paste is usually combined with warm rice
122,Apa minuman kesehatan yang terkenal di Indonesia?,Jamu adalah minuman kesehatan yang terkenal di Indonesia,,Apa wedang kesehatan sing misuwur ing Indonesia?,Jamu minangka minuman kesehatan sing kondhang ing Indonesia,,What is the famous health drink in Indonesia?,Jamu is a famous health drink in Indonesia
123,Apa bahan dasar sate di Indonesia?,"Sate di Indonesia bisa berbahan dasar ayam, kambing, kelinci ",,Apa bahan baku sate ing Indonesia?,"Sate ing Indonesia bisa digawe saka pitik, wedhus utawa terwelu",,What are the basic ingredients of satay in Indonesia?,"Satay in Indonesia can be made from chicken, goat, rabbit"
124,Darimana teh tarik berasal?,Teh tarik adalah minuman khas daerah Aceh,,Teh Tarik saka ngendi?,Teh Tarik minangka minuman khas daerah Aceh,,Where did the tug -of -tea come from?,Pull Tea is a typical drink of Aceh
125,Apa itu kerak telor?,Makanan khas betawi yang unik pembuatannya dengan dibakar yaitu kerak telor,,Apa iku kerak endhog?,Panganan khas Betawi sing digawe kanthi cara dibakar yaiku kulit endhog,,What is the egg crust?,The unique Betawi specialties that are uniquely made by burning are egg crust
126,Apa yang terkenal dari coto makassar?,Coto makassar terkenal dengan rasa rempahnya yang kuat,,Apa sing misuwur Coto Makassar?,Coto Makassar misuwur kanthi rasa rempah-rempah,,What's famous from Coto Makassar?,Coto Makassar is famous for its strong spices
127,Apa makanan di Indonesia yang saat ini digemari anak muda?,Makanan di Indonesia yang saat ini digemari anak muda yaitu seblak,,Panganan apa ing Indonesia sing saiki disenengi para mudha?,Panganan ing Indonesia sing saiki disenengi para mudha yaiku seblak,,What foods in Indonesia are currently popular with young people?,"Food in Indonesia which is currently favored by young people, seblak"
128,Apa khasiat dari minuman bir pletok?,Sakit perut dan mual bisa di hilangkan dengan minuman bir pletok dari Jakarta,,Apa gunane ngombe bir pletok?,Sakit weteng lan mual bisa diilangi kanthi ngombe bir pletok saka Jakarta,,What are the benefits of Pletok beer drinks?,Abdominal pain and nausea can be removed with pletok beer from Jakarta
129,Apa itu lemper?,Lemper adalah kue tradisional dari ketan dan ayam,,Apa iku lemper?,Lemper ya iku jajanan tradhisional kang digawé saka ketan lan pitik,,What is Lemper?,Lemper is a traditional cake from sticky rice and chicken
130,Apa itu kopi robusta?,Kopi robusta adalah kopi hitam yang pahit,,Apa kopi robusta?,Kopi robusta iku kopi ireng pahit,,What is Robusta coffee?,Robusta coffee is a bitter black coffee
131,Apa saja hidangan khas yang harus saya cicipi saat berkunjung ke Bali?,Hidangan khas Bali yang harus anda cicipi saat berkunjung ke pulau bali adalah ayam betutu dan bebek bengil.,,Panganan khas apa sing kudu dicoba nalika ngunjungi Bali?,Jajan khas Bali sing wajib dicoba nalika dolan ing pulau Bali yaiku pitik betutu lan bebek bengil.,,What are the typical dishes I should try when visiting Bali?,Typical Balinese dishes that you must try when visiting the island of Bali are betutu chicken and bengil duck.
132,"Di wilayah pesisir Sumatera Barat, di mana saya bisa menemukan restoran-restoran tepi pantai yang menyajikan hidangan laut segar ?","Di pesisir Sumatera Barat, Restoran-restoran tepi pantai yang menyajikan hidangan laut segar, adalah ikan bakar yang harum dan kerang rebus yang lezat.",,"Ing wilayah pesisir Sumatera Barat, ing ngendi aku bisa nemokake restoran pinggir pantai sing nyedhiyakake panganan laut seger ?","Ing pesisir Sumatra Kulon, restoran pinggir pantai nyedhiyakake panganan laut sing seger, kalebu iwak bakar sing wangi lan kerang rebus sing enak.",,"In the coastal area of West Sumatra, where can I find beachside restaurants that serve fresh seafood ?","On the coast of West Sumatra, beachfront restaurants serve fresh seafood, including fragrant grilled fish and delicious boiled shellfish."
133,"Di pasar malam Yogyakarta, apa saja hidangan makanan di pinggir jalanan yang populer?","Pasar malam Yogyakarta terkenal dengan hidangan makanan jalanan yang populer, seperti gudeg, sate ayam, dan bakso.",,"Ing pasar malem Ngayogyakarta, apa jajanan ning pinggir jalan sing populer?","Pasar malem Ngayogyakarta misuwur kanthi jajanan pinggir jalan, kadosta gudeg, sate ayam lan bakso.",,"At Yogyakarta night markets, what are the popular dishes in street food?","Yogyakarta night markets are famous for popular street food dishes, such as gudeg, chicken satay and meatballs."
134,Apakah Anda memiliki rekomendasi untuk restoran internasional di Jakarta yang menyajikan hidangan khas dari negara-negara lain?,Salah satu rekomendasi restoran Internasional di Jakarta adalah Restoran Sushi Sato yang menyajikan sushi Jepang yang segar dan autentik.,,Apa sampeyan duwe rekomendasi restoran internasional ing Jakarta sing nyedhiyakake masakan khas negara liya?,Salah sawijining restoran internasional sing disaranake ing Jakarta yaiku Restoran Sushi Sato sing nyedhiyakake sushi Jepang sing seger lan asli.,,Do you have recommendations for international restaurants in Jakarta that serve typical dishes from other countries?,One of the recommended international restaurants in Jakarta is Sushi Sato Restaurant which serves fresh and authentic Japanese sushi.
135,Apakah Anda punya rekomendasi toko kue lokal di Bandung yang wajib dikunjungi untuk mencicipi kue tradisional dan makanan manis?,"Di bandung, ada toko kue tradisional yang bernama 'Berkah Rasa' yang menyajikan kue tradisional dan beragam makanan manis yang lezat.",,Apa sampeyan duwe rekomendasi kanggo toko kue lokal ing Bandung sing kudu sampeyan kunjungi kanggo nyicipi jajanan tradisional lan manisan?,Wonten ing Bandung wonten warung jajan tradisional ingkang aranipun 'Berkah Rasa' ingkang nyawisaken jajanan tradhisional lan maneka warna jajanan ingkang legi.,,Do you have any recommendations for local cake shops in Bandung that you must visit to taste traditional cakes and sweets?,"In Bandung, there is a traditional cake shop called 'Berkah Rasa' which serves traditional cakes and various delicious sweet foods."
136,Apa makanan khas tarakan?,Kepiting Soka adalah kepiting khas Tarakan,,Apa panganan khas Tarakan?,krabu soka iku krabu khasa tarakan,,What is Tarakan's typical food?,Soka crab is a typical Tarakan crab
137,Bagaimana rasa sambal tudai?,Sambal dengan bahan utama tudai atau kerang memiliki rasa yang lezat,,Piye rasane sambal tudai?,Sambal kanthi bahan utama tudai utawa kerang nduweni rasa kang enak,,How does sambal tudai taste?,Sambal with the main ingredient tudai or shellfish has a delicious taste
138,Apakah anda tahu jenis kerang laut yang mengandung protein?,Kapah merupakan jenis kerang laut yang dikenal mengandung banyak protein,,Apa sampeyan ngerti apa jinis cangkang segara sing ngemot protein?,Kapah iku jinis cangkang segara sing dikenal akeh protein,,Do you know what type of sea shells contain protein?,Kapah is a type of sea shell that is known to contain a lot of protein
139,Apakah ciri khas dari rawon?,Rawon merupakan sup daging berkuah hitam dengan campuran bumbu khas,,Apa ciri-cirine rawon?,Rawon yaiku sup sembrani kuah ireng kanthi campuran bumbu khas,,What are the characteristics of rawon?,Rawon is a black meat soup with a special mixture of spices
140,Dari manakah kuliner nasi padang?,Nasi padang adalah hidangan dari Sumatera Barat yang terdiri dari nasi putih disajikan dengan berbagai hidangan lauk,,Saka ngendi asale masakan Nasi Padang?,Nasi Padang ya iku panganan saka Sumatra Kulon kang isiné sega putih kang disuguhaké karo manéka lawuh,,Where does the culinary dish Nasi Padang come from?,Nasi Padang is a dish from West Sumatra consisting of white rice served with various side dishes
141,Hidangan Eksotis apa yang menjadi favorit di daerah Surabaya ?,"Di Surabaya, penjual sate kikil dan sate kelinci menjadi favorit wisatawan yang mencari hidangan eksotis.",,Masakan eksotis apa sing dadi favoritmu ing tlatah Surabaya?,Ing Surabaya bakul sate kikil lan sate terwelu dadi favorit para wisatawan sing golek masakan eksotis.,,What exotic dishes are your favorites in the Surabaya area?,"In Surabaya, sellers of kikil satay and rabbit satay are favorites of tourists looking for exotic dishes."
142,Apakah makanan khas dari sumatra barat yang terkenal dengan daging sapinya ?,Sate Padang adalah sajian khas Sumatra Barat yang terkenal dengan daging sapi lembutnya dan kuah rendang yang gurih.,,Apa panganan khas Sumatera Barat sing terkenal daging sapi?,Sate Padang iku panganan khas Sumatera Barat sing misuwur kanthi daging sapi sing empuk lan saus rendang sing gurih.,,What is the typical food from West Sumatra which is famous for its beef?,Sate Padang is a typical West Sumatran dish famous for its tender beef and savory rendang sauce.
143,Di wilayah Yogyakarta makanan khas apa yang memiliki cita rasa yang manis dan gurih ?,Yogyakarta memiliki makanan khas gudeg yang bercitarasa manis dan gurih yang terbuat dari nangka muda dan disajikan dengan ayam dan nasi.,,"Ing tlatah Ngayogyakarta, panganan khas apa wae sing rasane legi lan gurih?",Ngayogyakarta nduweni panganan gudeg sing legi lan gurih sing digawe saka nangka enom lan disajikake karo pitik lan sega.,,"In the Yogyakarta region, what typical food has a sweet and savory taste?",Yogyakarta has a typical sweet and savory gudeg food made from young jackfruit and served with chicken and rice.
144,Apakah Anda memiliki rekomendasi tempat di Jakarta yang terkenal dengan Soto Betawinya?,Soto Betawi Haji Mamat adalah makanan tradisional Jakarta yang terkenal dengan kuah santannya yang kaya dan potongan daging serta jeroan.,,Apa sampeyan duwe rekomendasi kanggo panggonan ing Jakarta sing misuwur karo Soto Betawi?,Soto Betawi Haji Mamat ya iku panganan tradisional Jakarta sing misuwur kanthi saos santen lan potongan daging lan jeroan.,,Do you have any recommendations for places in Jakarta that are famous for Soto Betawi?,Soto Betawi Haji Mamat is a traditional Jakarta food known for its rich coconut milk sauce and chunks of meat and offal.
145,Apakah anda punya rekomendasi tempat di bogor dengan sop iganya ?,Sop Iga Sapi Pak Tigor adalah hidangan khas Bogor yang terkenal dengan kuah kaldu yang gurih dan iga sapi yang empuk.,,Apa sampeyan duwe rekomendasi kanggo panggonan ing Bogor karo sup iga?,Sop Iga Sapi Pak Tigor ya iku jajanan khas Bogor sing kondhang kalduné sing enak lan iga sapi sing empuk.,,Do you have any recommendations for places in Bogor with rib soup?,Pak Tigor Beef Rib Sop is a typical Bogor dish which is famous for its delicious broth and tender beef ribs.
146,Apa nama minuman khas dari kota Malang yang berbahan dasar Jahe?,Tahwa adalah minuman yang berbahan dasar jahe berasal dari Malang ,,Apa jenenge wedang khas kutha Malang sing digawe saka jahe?,Tahwa ya iku ombenan saka jahe sing asalé saka Malang,,Tahwa is a drink made from ginger originating from Malang,Tahwa is a drink made from ginger originating from Malang
147,Apa nama jajanan yang banyak ditemui pada saat orang menggelar acara?,Kue apem dapat dijumpai jika ada acara terutama di pulau jawa ,,Sebutna jeneng jajanan sing kerep ditemoni nalika wong nganakake acara?,Jajan apem bisa ditemoni ing acara-acara utamane ing pulo Jawa,,"Apem cake can be found at events, especially on the island of Java","Apem cake can be found at events, especially on the island of Java"
148,Ketoprak adalah makanan khas darimana?,Jakarta juga memiliki makanan khas yang bernama Ketoprak ,,Ketoprak iku panganan khas saka ngendi?,Jakarta uga duwe panganan khusus sing jenenge Ketoprak,,Jakarta also has a special food called Ketoprak,Jakarta also has a special food called Ketoprak
149,Berasal darimana Lontong sayur itu?,Suku Betawi juga memiliki makanan khas yang bernama lontong sayur,,Saka ngendi asale sayur lontong?,Suku Betawi uga duwe panganan khusus sing diarani sayur lontong,,The Betawi tribe also has a special food called lontong vegetable,The Betawi tribe also has a special food called lontong vegetable
150,Makanan khas yang berasal dari Kota Lamongan selain soto lamongan yaitu?,Lamongan tidak hanya memiliki makanan yang itu-itu saja namun juga ada makanan khas yang bernama tahu campur,,Apa panganan khas Kutha Lamongan saliyane Soto Lamongan?,Lamongan ora mung duwe panganan sing padha nanging uga duwe panganan khusus sing diarani tahu campur,,Lamongan not only has the same food but also has a special food called mixed tofu,Lamongan not only has the same food but also has a special food called mixed tofu
151,Kerak Telor adalah makanan khas dari kota mana?,Jakarta tidak hanya memiliki makanan berat saja namun juga memiliki makanan khas yang bernama kerak telor,,Kerak Telor iku panganan khas saka kutha endi?,Jakarta ora mung duwe panganan sing abot nanging uga duwe panganan khusus sing diarani kerak telor,,Jakarta not only has heavy food but also has a special food called kerak telor,Jakarta not only has heavy food but also has a special food called kerak telor
152,Darimana asal minuman bajigur? ,Bajigur adalah minuman yang berbahan dasar gula aren dan santan yang berasal dari Sunda,,Saka ngendi asale wedang bajigur?,Bajigur ya iku ombenan kang digawé saka gula aren lan santen sing asalé saka Sundha,,Bajigur is a drink made from palm sugar and coconut milk originating from Sunda,Bajigur is a drink made from palm sugar and coconut milk originating from Sunda
153,Makanan tahu tek berasal darimana?,Surabaya memiliki makanan khas yang bernama tahu tek ,,Saka ngendi asale panganan tahu tek?,Surabaya duwe panganan khusus sing jenenge tahu tek,,Surabaya has a special food called tofu tek,Surabaya has a special food called tofu tek
154,Kota Surabaya memiliki minuman khas yaitu?,Es Sinom adalah minuman khas dari Surabaya yang menggunakan bahan alami ,,"Kutha Surabaya duwe wedang khusus, yaiku?",Es Sinom iku wedang khas Surabaya sing nggunakake bahan alami,,Es Sinom is a typical drink from Surabaya that uses natural ingredients,Es Sinom is a typical drink from Surabaya that uses natural ingredients
155,Nasi Pecel termasuk makanan khas dari Indonesia yang berasal dari?,Kota Madiun memiliki makanan khas yang bernama pecel madiun ,,Nasi Pecel iku panganan khas Indonesia sing asale saka?,Kutha Madiun duwe panganan khusus sing diarani pecel Madiun,,The city of Madiun has a special food called pecel Madiun,The city of Madiun has a special food called pecel Madiun
156,Apa nama makanan khas dari Aceh?,Mie aceh adalah makanan khas yang memiliki cita rasa yang enak dan berasal dari Aceh,,Apa jenenge panganan khas Aceh?,Mie Aceh minangka panganan khas sing rasane enak lan asale saka Aceh,,Acehnese noodles are a typical food that has a delicious taste and comes from Aceh,Acehnese noodles are a typical food that has a delicious taste and comes from Aceh
157,Bagaimana peran nasi dalam makanan sehari-hari di Indonesia?,Nasi adalah makanan pokok di Indonesia dan seringkali disajikan sebagai bagian utama dalam hidangan.,,Kepriye perane sega ing panganan saben dinane ing Indonesia?,Sega minangka panganan pokok ing Indonésia lan asring didadèkaké dhaharan.,,Rice is a staple food in Indonesia and is often served as the main part of a meal.,Rice is a staple food in Indonesia and is often served as the main part of a meal.
158,"Bagaimana cara membuat sambal, saus pedas khas Indonesia?","Sambal adalah saus pedas khas Indonesia yang dibuat dari cabai, bawang, dan bumbu lainnya.",,"Kepiye carane nggawe sambal, saus pedhes khas Indonesia?","Sambal yaiku saus pedhes saka Indonesia sing digawe saka lombok, bawang lan rempah-rempah liyane.",,"Sambal is a spicy Indonesian sauce made from chilies, onions and other spices.","Sambal is a spicy Indonesian sauce made from chilies, onions and other spices."
159,Apa nama jajanan pasar yang berlapis-lapis dan memiliki berbagai macam warna?,Kue lapis adalah jajanan pasar yang berwarna warni dan memiliki beberapa lapis ,,Apa arane jajanan pasar sing lapis lan wernane maneka warna?,Kue lapis minangka jajanan pasar warna-warni sing duwe sawetara lapisan,,Layer cake is a colorful market snack that has several layers,Layer cake is a colorful market snack that has several layers
160,Bagaimana peran nasi dalam makanan sehari-hari di Indonesia?,Nasi adalah makanan pokok di Indonesia dan seringkali disajikan sebagai bagian utama dalam hidangan.,,Kepriye perane sega ing panganan saben dinane ing Indonesia?,Sega minangka panganan pokok ing Indonésia lan asring didadèkaké dhaharan.,,Rice is a staple food in Indonesia and is often served as the main part of a meal.,Rice is a staple food in Indonesia and is often served as the main part of a meal.
161,"Bagaimana cara membuat sambal, saus pedas khas Indonesia?","Sambal adalah saus pedas khas Indonesia yang dibuat dari cabai, bawang, dan bumbu lainnya.",,"Kepiye carane nggawe sambal, saus pedhes khas Indonesia?","Sambal yaiku sambel pedhes khas Indonesia sing digawe saka lombok, bawang lan rempah-rempah liyane.",,"Sambal is a typical Indonesian spicy sauce made from chilies, onions and other spices.","Sambal is a typical Indonesian spicy sauce made from chilies, onions and other spices."
162,Apa hidangan khas Indonesia yang terkenal di seluruh dunia?,endang adalah hidangan khas Indonesia yang sangat terkenal di seluruh dunia.,,Apa panganan khas Indonesia sing misuwur ing saindenging jagad?,Endang minangka panganan khas Indonesia sing misuwur banget ing saindenging jagad.,,Endang is a typical Indonesian dish that is very famous throughout the world.,Endang is a typical Indonesian dish that is very famous throughout the world.
163,Apa makanan khas yang berasal dari Sumatra Utara di Indonesia?,Saksang adalah hidangan khas dari Sumatra Utara yang terkenal dengan rasa pedas dan gurihnya.,,Apa panganan khas sing asale saka Sumatera Utara ing Indonesia?,Saksang minangka panganan khas Sumatera Utara sing misuwur kanthi rasa pedhes lan gurih.,,Saksang is a typical dish from North Sumatra which is famous for its spicy and savory taste.,Saksang is a typical dish from North Sumatra which is famous for its spicy and savory taste.
164,Apa variasi sambal yang dapat ditemukan di Indonesia?,"Di Indonesia, variasi sambal meliputi sambal terasi, sambal oelek, sambal bawang, dan banyak lagi.",,Apa variasi sambal sing bisa ditemokake ing Indonesia?,"Ing Indonesia, variasi sambal kalebu sambal terasi, sambal oelek, sambal bawang putih, lan liya-liyane.",,"In Indonesia, variations of sambal include sambal terasi, sambal oelek, chili garlic sauce, and many more.","In Indonesia, variations of sambal include sambal terasi, sambal oelek, chili garlic sauce, and many more."
165,"Bagaimana nasi menonjol dalam lanskap kuliner Malang, dan apa saja hidangan berbahan dasar nasi yang terkenal?",Nasi memainkan peran sentral dalam sebagian besar masakan di Malang.,,"Kadospundi ciri khas sega wonten ing kuliner Malang, lan pinten-pinten sajian adhedhasar sega ingkang misuwur?",Sega nduweni peran sentral ing mayoritas masakan ing Malang.,,"How does rice feature prominently in the culinary landscape of Malang, and what are some notable rice-based dishes?",Rice plays a central role in the majority of dishes in Malang.
166,Apa makanan khas Bali yang paling terkenal?,"Makanan khas Bali yang paling terkenal adalah nasi campur Bali. Nasi campur ini biasanya disajikan dengan berbagai lauk seperti ayam betutu, lawar, sate lilit, dan telur pindang.",,Apa panganan Bali sing paling misuwur?,"Panganan Bali sing misuwur ya iku sega campur Bali. Sega campur iki biasane disuguhake karo macem-macem lawuh kayata pitik betutu, lawar, sate lilit, lan endhog rebus.",,What is the most famous Balinese food?,"The most famous Balinese food is Balinese mixed rice. This mixed rice is usually served with various side dishes such as chicken betutu, lawar, satay lilit, and boiled eggs."
167,Bagaimana rasanya lawar Bali?,"Lawar Bali memiliki rasa yang unik dan lezat. Ini adalah hidangan berbasis sayuran yang biasanya terdiri dari kelapa parut, kacang panjang, tauge, dan rempah-rempah khas Bali seperti terasi dan jeruk limo. Rasanya gurih, pedas, dan segar.",,Apa rasa lawar Bali?,"Lawar Bali nduweni rasa sing unik lan enak. Iki minangka panganan sayur-sayuran sing biasane kalebu klapa parut, kacang panjang, tauge, lan rempah-rempah Bali kayata terasi lan jeruk nipis. Rasane gurih, pedhes lan seger.",,What does Balinese lawar taste like?,"Balinese lawar has a unique and delicious taste. This is a vegetable-based dish that usually consists of grated coconut, long beans, bean sprouts, and Balinese spices such as shrimp paste and lime. It tastes savory, spicy and fresh."
168,Apakah ada hidangan penutup khas Bali yang harus saya coba?,Hidangan penutup khas Bali yang harus anda coba adalah dadar gulung Bali. Dadar gulung adalah pancake hijau tipis yang diisi dengan campuran kelapa parut dan gula merah. Rasanya manis dan memiliki aroma wangi dari daun pandan.,,Apa ana panganan cuci mulut Bali sing kudu dakcoba?,Panganan khas Bali sing kudu dicoba yaiku omelet gulung Bali. Dadar gulung yaiku pancake ijo tipis sing diisi campuran klapa parut lan gula abang. Rasane legi lan ambune wangi saka godhong pandan.,,Are there any Balinese desserts I should try?,A typical Balinese dessert that you have to try is the Balinese rolled omelette. Dadar roll is a thin green pancake filled with a mixture of grated coconut and brown sugar. It tastes sweet and has a fragrant aroma from pandan leaves.
169,Apa minuman tradisional Bali yang populer?,Minuman tradisional Bali yang populer adalah arak. Arak adalah minuman beralkohol yang dibuat dari beras atau buah-buahan seperti kelapa. Anda juga bisa mencoba minuman non-alkohol seperti es kelapa muda atau jus jeruk Bali yang segar.,,Apa wedang tradisional Bali sing populer?,Minuman tradisional Bali sing populer yaiku arak. Arak ya iku ombenan alkohol kang digawé saka beras utawa woh-wohan kayata klapa. Sampeyan uga bisa nyoba ombenan non-alkohol kayata es klapa enom utawa jus grapefruit seger.,,What are the popular traditional Balinese drinks?,A popular traditional Balinese drink is arak. Arak is an alcoholic drink made from rice or fruits such as coconut. You can also try non-alcoholic drinks such as young coconut ice or fresh grapefruit juice.
170,Di mana tempat terbaik untuk mencicipi kuliner Bali yang autentik?,"Anda bisa mencicipi kuliner Bali yang autentik di warung-warung lokal atau rumah makan tradisional di daerah seperti Ubud, Kuta, dan Seminyak. Jangan lupa mencoba makanan di pasar tradisional Bali juga untuk pengalaman kuliner yang lebih otentik",,Ing endi papan sing paling apik kanggo nyicipi masakan asli Bali?,"Sampeyan bisa ngrasakake kuliner asli Bali ing warung lokal utawa restoran tradisional ing wilayah kayata Ubud, Kuta lan Seminyak. Aja lali nyoba panganan ing pasar tradisional Bali uga kanggo pengalaman kuliner sing luwih otentik",,Where is the best place to taste authentic Balinese cuisine?,"You can taste authentic Balinese culinary delights at local stalls or traditional restaurants in areas such as Ubud, Kuta and Seminyak. Don't forget to try the food at Bali's traditional markets too for a more authentic culinary experience"
171,Apa yang membuat kuliner Indonesia begitu menarik bagi wisatawan?,Indonesia memiliki beragam ragam kuliner yang kaya akan rasa seperti rendang,,Apa sing ndadekake masakan Indonesia narik kawigaten para wisatawan?,"Indonesia nduweni maneka warna kuliner sing sugih rasa, kayata rendang.",,What makes Indonesian cuisine so attractive to tourists?,"Indonesia has a variety of culinary delights that are rich in flavors, such as rendang."
172,Apa yang menjadi daya tarik wisatawan berpariwisata kuliner di Indonesia?,Makanan Indonesia merupakan daya tarik utama bagi para wisatawan yang mencari pengalaman kuliner yang unik seperti nasi tumpeng,,Apa daya tarik wisata kuliner ing Indonesia?,Panganan Indonesia dadi daya tarik utama para wisatawan sing golek pengalaman kuliner unik kayata sega tumpeng.,,What is the attraction for culinary tourism tourists in Indonesia?,Indonesian food is a major attraction for tourists looking for unique culinary experiences such as tumpeng rice.
173,Apa saja masakan khas Indonesia yang paling terkenal?,Salah satu makanan khas indonesia yang banyak menarik wisatawan adalah nasi goreng,,Apa kuliner khas Indonesia sing paling misuwur?,Salah satunggaling jajanan khas Indonesia ingkang narik kawigatosan wisatawan inggih menika sekul goreng.,,What are the most famous Indonesian specialties?,One of the typical Indonesian foods that attracts many tourists is fried rice.
174,Makanan apa yang harus dicicipi wisatawan ketika berkunjung ke kota medan?,Makanan khas medan yang banyak digemari oleh wisatawan ketika berkunjung ke kota medan seperti bika ambon dan mie gomak,,Panganan apa sing kudu dicoba para wisatawan nalika ngunjungi kutha Medan?,Jajanan khas Medan sing disenengi para wisatawan nalika dolan menyang kutha Medan yaiku mie bika ambon lan mie gomak.,,What food should tourists try when visiting Medan city?,Typical Medan foods that are popular with tourists when visiting Medan city include bika ambon and gomak noodles.
175,Apakah makanan yang direkomendasikan ketika pergi ke padang?,Hidangan Indonesia seperti sate padang menjadi salah satu magnet utama bagi para wisatawan yang mencari pengalaman makanan yang unik dipadang.,,Apa panganan sing disaranake nalika menyang Padang?,Masakan Indonesia kayata sate Padang minangka salah sawijining daya tarik utama para wisatawan sing golek pengalaman panganan sing unik ing Padang.,,What is the recommended food when going to Padang?,Indonesian dishes such as Padang satay are one of the main magnets for tourists looking for a unique food experience in Padang.
176,"Apa yang membuat warisan kuliner Malang menonjol dibandingkan kota-kota lain di Jawa Timur, Indonesia?","Malang merupakan sebuah kota yang terletak di Jawa Timur, Indonesia, yang terkenal dengan kekayaan warisan kulinernya.",,"Punapa ingkang ndadosaken warisan kuliner Malang menika misuwur ing antawisipun kutha-kutha sanesipun ing Jawa Timur, Indonesia?","Malang iku sawijining kutha ing Jawa Wétan, Indonésia sing misuwur kanthi warisan kuliner sing sugih.",,"What makes Malang's culinary heritage stand out among other cities in East Java, Indonesia?","Malang is a city located in East Java, Indonesia, known for its rich culinary heritage."
177,"Bisakah Anda menjelaskan ciri-ciri unik ""Bakso Malang"" dan di mana letaknya di Malang?","Salah satu masakan yang wajib dicoba di Malang adalah ""Bakso Malang"", sup bakso khas Indonesia yang terkenal.",,"Apa sampeyan bisa nerangake ciri khas ""Bakso Malang"" lan ing ngendi bisa ditemokake ing Malang?","Salah sawijining panganan sing kudu dicoba ing Malang yaiku ""Bakso Malang,"" sup bakso Indonesia sing misuwur.",,"Can you describe the unique characteristics of ""Bakso Malang"" and where it can be found in Malang?","One of the must-try dishes in Malang is ""Bakso Malang,"" a famous Indonesian meatball soup."
